uniprotid,status,has_both,xray_count,em_count,xray_pdbs,em_pdbs
Q8DGB4,OK,True,10,5,"1JB0, 3PCQ, 4FE1, 5ZF0, 6PFY, 6PGK, 7BW2, 7M75, 7M76, 7M78","6LU1, 6TRA, 6TRC, 6TRD, 7FIX"
P0A3C9,OK,True,3,3,"5AUI, 5ZF0, 6JO2","6KHI, 6L7O, 7FIX"
P0A429,OK,True,11,5,"1JB0, 2PPS, 3PCQ, 4FE1, 5ZF0, 6PFY, 6PGK, 7BW2, 7M75, 7M76","6LU1, 6TRA, 6TRC, 6TRD, 7FIX"
P0A420,OK,True,12,5,"1C51, 1JB0, 2PPS, 3PCQ, 4FE1, 5ZF0, 6PFY, 6PGK, 7BW2, 7M75","6LU1, 6TRA, 6TRC, 6TRD, 7FIX"
P20081,OK,True,1,1,1YAT,7ZW0
P21453,OK,True,2,15,"3V2W, 3V2Y","7EO2, 7EO4, 7EVY, 7EVZ, 7EW0, 7EW7, 7TD3, 7TD4, 7VIE, 7VIF"
Q5T601,OK,True,1,9,8HC0,"7WU3, 7WU4, 7WU5, 7WXU, 7WXW, 7WY0, 7WZ7, 7X2V, 8G2Y"
C0ZGQ6,OK,True,4,3,"5HQW, 7ZM9, 7ZMC, 7ZMF","7ZMA, 7ZMD, 7ZSK"
P0A403,OK,True,11,5,"1JB0, 2PPS, 3PCQ, 4FE1, 5ZF0, 6PFY, 6PGK, 7BW2, 7M75, 7M76","6LU1, 6TRA, 6TRC, 6TRD, 7FIX"
P0A425,OK,True,12,4,"1C51, 1JB0, 2PPS, 3PCQ, 4FE1, 5ZF0, 6PFY, 6PGK, 7BW2, 7M75","6TRA, 6TRC, 6TRD, 7FIX"
P0A427,OK,True,11,5,"1JB0, 2PPS, 3PCQ, 4FE1, 5ZF0, 6PFY, 6PGK, 7BW2, 7M75, 7M76","6LU1, 6TRA, 6TRC, 6TRD, 7FIX"
P22892,OK,True,8,18,"1GYU, 1GYV, 1GYW, 1W63, 2A7B, 3ZY7, 4HMY, 4P6Z","6CM9, 6CRI, 6D83, 6D84, 6DFF, 7R4H, 7UX3, 8D4C, 8D4D, 8D4E"
