uniprotid,status,has_both,xray_count,em_count,xray_pdbs,em_pdbs
Q9X6J6,OK,True,24,4,"1C9S, 1GTF, 1GTN, 1QAW, 1UTD, 2EXS, 2EXT, 2ZCZ, 2ZD0, 2ZP8","6RVV, 6RVW, 8R59, 8R5A"
P51948,OK,True,2,50,"6TUN, 8PYR","6NMI, 6O9L, 6O9M, 6XBZ, 6XD3, 7B5O, 7B5Q, 7EGB, 7EGC, 7ENA"
P51946,OK,True,3,34,"1JKW, 1KXU, 8PYR","6O9L, 6XBZ, 6XD3, 7B5O, 7B5Q, 7EGB, 7EGC, 7ENA, 7ENC, 7LBM"
P50613,OK,True,9,35,"1UA2, 8P4Z, 8PYR, 8R99, 8R9A, 8R9B, 8R9O, 8R9S, 8R9U","6O9L, 6XBZ, 6XD3, 7B5O, 7B5Q, 7EGB, 7EGC, 7ENA, 7ENC, 7LBM"
P42212,OK,True,482,98,"1B9C, 1BFP, 1C4F, 1CV7, 1EMA, 1EMB, 1EMC, 1EME, 1EMF, 1EMG","5BKF, 5BKG, 6ITC, 6MB2, 6MDR, 6MKS, 6MWQ, 6T90, 6UZ0, 6UZ3"
P06756,OK,True,26,27,"1JV2, 1L5G, 1M1X, 1U8C, 3IJE, 4G1E, 4G1M, 4MMX, 4MMY, 4MMZ","5NEM, 5NER, 5NET, 5NEU, 6AVQ, 6AVR, 6AVU, 6DJP, 6UJA, 6UJB"
P05106,OK,True,72,23,"1JV2, 1L5G, 1M1X, 1MIZ, 1MK7, 1MK9, 1TYE, 1U8C, 2Q6W, 2VC2","4CAK, 6AVQ, 6AVR, 6AVU, 6V4P, 7LA4, 8GCD, 8GCE, 8IJ5, 8T2U"
P07256,OK,True,8,11,"1EZV, 1KB9, 1KYO, 1P84, 2IBZ, 3CX5, 3CXH, 4PD4","6GIQ, 6HU9, 6T0B, 6T15, 6YMX, 8E7S, 8EC0, 8YHQ, 8YIN, 8ZMT"
P00163,OK,True,8,11,"1EZV, 1KB9, 1KYO, 1P84, 2IBZ, 3CX5, 3CXH, 4PD4","6GIQ, 6HU9, 6T0B, 6T15, 6YMX, 8E7S, 8EC0, 8YHQ, 8YIN, 8ZMT"
P08067,OK,True,8,11,"1EZV, 1KB9, 1KYO, 1P84, 2IBZ, 3CX5, 3CXH, 4PD4","6GIQ, 6HU9, 6T0B, 6T15, 6YMX, 8E7S, 8EC0, 8YHQ, 8YIN, 8ZMT"
Q12791,OK,True,3,31,"3MT5, 3NAF, 6V5A","6ND0, 6V22, 6V35, 6V38, 6V3G, 7YNZ, 7YO0, 7YO1, 7YO2, 7YO3"
P07257,OK,True,8,11,"1EZV, 1KB9, 1KYO, 1P84, 2IBZ, 3CX5, 3CXH, 4PD4","6GIQ, 6HU9, 6T0B, 6T15, 6YMX, 8E7S, 8EC0, 8YHQ, 8YIN, 8ZMT"
P00127,OK,True,8,10,"1EZV, 1KB9, 1KYO, 1P84, 2IBZ, 3CX5, 3CXH, 4PD4","6GIQ, 6HU9, 6T0B, 6T15, 8E7S, 8EC0, 8YHQ, 8YIN, 8ZMT, 9ETZ"
P07143,OK,True,8,11,"1EZV, 1KB9, 1KYO, 1P84, 2IBZ, 3CX5, 3CXH, 4PD4","6GIQ, 6HU9, 6T0B, 6T15, 6YMX, 8E7S, 8EC0, 8YHQ, 8YIN, 8ZMT"
P08525,OK,True,8,11,"1EZV, 1KB9, 1KYO, 1P84, 2IBZ, 3CX5, 3CXH, 4PD4","6GIQ, 6HU9, 6T0B, 6T15, 6YMX, 8E7S, 8EC0, 8YHQ, 8YIN, 8ZMT"
P00128,OK,True,8,11,"1EZV, 1KB9, 1KYO, 1P84, 2IBZ, 3CX5, 3CXH, 4PD4","6GIQ, 6HU9, 6T0B, 6T15, 6YMX, 8E7S, 8EC0, 8YHQ, 8YIN, 8ZMT"
P22289,OK,True,8,12,"1EZV, 1KB9, 1KYO, 1P84, 2IBZ, 3CX5, 3CXH, 4PD4","6GIQ, 6HU9, 6T0B, 6T15, 8E7S, 8EC0, 8YHQ, 8YIL, 8YIN, 8YIO"
