uniprotid,status,has_both,xray_count,em_count,xray_pdbs,em_pdbs
P49790,OK,True,5,3,"4U0C, 4U0D, 5TSV, 5TSX, 6AYA","8CKY, 8CL0, 9CNU"
P12272,OK,True,7,3,"1M5N, 3FFD, 3H3G, 7UZO, 7UZP, 8D51, 8D52","7VVJ, 8FLR, 8HAF"
Q9GZV9,OK,True,3,3,"2P39, 5W21, 6S22","7YSH, 7YSU, 7YSW"
P29372,OK,True,6,3,"1BNK, 1EWN, 1F4R, 1F6O, 3QI5, 3UBY","7XFH, 7XFJ, 7XFM"
Q9UEF7,OK,True,1,5,5W21,"7YSH, 7YSU, 7YSW, 8TOH, 8UF8"
Q00194,OK,True,1,2,3SWF,"7O4H, 8BX7"
P68104,OK,True,1,3,3C5J,"6ZMO, 8G60, 8G6J"
P11362,OK,True,74,2,"1AGW, 1CVS, 1EVT, 1FGI, 1FGK, 1FQ9, 2FGI, 3C4F, 3DPK, 3GQI","7YSH, 8JQI"
Q8WW01,OK,True,1,5,6Z9U,"7UXA, 7ZRZ, 8HMY, 8HMZ, 8ISS"
Q9BSV6,OK,True,1,5,6Z9U,"7UXA, 7ZRZ, 8HMY, 8HMZ, 8ISS"
Q99257,OK,True,3,2,"1OF5, 4WWU, 6EXZ","8HBN, 8HFR"
P35718,OK,True,1,25,2CKZ,"5FJ8, 5FJ9, 5FJA, 6CNB, 6CNC, 6CND, 6CNF, 6EU0, 6EU1, 6EU2"
P47076,OK,True,1,25,2CKZ,"5FJ8, 5FJ9, 5FJA, 6CNB, 6CNC, 6CND, 6CNF, 6EU0, 6EU1, 6EU2"
Q86V81,OK,True,1,2,3ULH,"7ZNJ, 7ZNK"
G0S6C0,OK,True,1,4,6G7E,"7Z7N, 7Z8S, 7ZB5, 7ZKE"
P34232,OK,True,2,2,"1OF5, 4WWU","8HBN, 8HFR"
P38077,OK,True,10,45,"2HLD, 2WPD, 2XOK, 3FKS, 3OE7, 3OEE, 3OEH, 3OFN, 3ZIA, 3ZRY","4B2Q, 6B8H, 6CP3, 6CP6, 7TJT, 7TJU, 7TJV, 7TJW, 7TJX, 7TJY"
Q04307,OK,True,1,24,3QT1,"5FJ8, 5FJ9, 5FJA, 6CNB, 6CNC, 6CND, 6CNF, 6EU0, 6EU1, 6EU2"
P07703,OK,True,5,56,"4C2M, 4C3H, 4C3I, 4C3J, 4YM7","5FJ8, 5FJ9, 5FJA, 5G5L, 5LMX, 5M3F, 5M3M, 5M5W, 5M5X, 5M5Y"
P28000,OK,True,5,56,"4C2M, 4C3H, 4C3I, 4C3J, 4YM7","5FJ8, 5FJ9, 5FJA, 5G5L, 5LMX, 5M3F, 5M3M, 5M5W, 5M5X, 5M5Y"
P63241,OK,True,2,2,"3CPF, 5DLQ","8A0E, 8Y0W"
P20789,OK,True,16,7,"3ZEV, 4BUO, 4BV0, 4BWB, 4GRV, 4XEE, 4XES, 5T04, 6YVR, 6Z4Q","7L0P, 7L0Q, 7L0R, 7L0S, 8FMZ, 8FN0, 8FN1"
P01215,OK,True,7,7,"1FL7, 1HCN, 1HRP, 1QFW, 1XWD, 4AY9, 4MQW","7FIG, 7FIH, 7FII, 7T9I, 7UTZ, 7XW5, 8I2G"
P49366,OK,True,19,2,"1DHS, 1RLZ, 1ROZ, 1RQD, 6P4V, 6PGR, 6WKZ, 6WL6, 6XXH, 6XXI","8A0E, 8PVU"
P23945,OK,True,3,2,"1XWD, 4AY9, 4MQW","8I2G, 8I2H"
A0A977XLG0,OK,True,1,1,7YTB,8I2Z
P10082,OK,True,1,1,7RT9,7YON
P00830,OK,True,10,45,"2HLD, 2WPD, 2XOK, 3FKS, 3OE7, 3OEE, 3OEH, 3OFN, 3ZIA, 3ZRY","4B2Q, 6B8H, 6CP3, 6CP6, 7TJT, 7TJU, 7TJV, 7TJW, 7TJX, 7TJY"
P07251,OK,True,10,45,"2HLD, 2WPD, 2XOK, 3FKS, 3OE7, 3OEE, 3OEH, 3OFN, 3ZIA, 3ZRY","4B2Q, 6B8H, 6CP3, 6CP6, 7TJT, 7TJU, 7TJV, 7TJW, 7TJX, 7TJY"
O59010,OK,True,25,21,"1XFH, 2NWL, 2NWW, 2NWX, 3KBC, 3V8F, 3V8G, 4IZM, 4OYE, 4OYF","6UWF, 6UWL, 6WYJ, 6WYK, 6WYL, 6X12, 6X13, 6X14, 6X15, 6X16"
Q9IH63,OK,True,4,14,"1WP7, 3N27, 5EVM, 6T3F","6TYS, 7KI4, 7UOP, 7UP9, 7UPA, 7UPB, 7UPD, 7UPK, 8DMJ, 8DNG"
P23368,OK,True,14,3,"1DO8, 1EFK, 1EFL, 1GZ3, 1GZ4, 1PJ2, 1PJ3, 1PJ4, 1PJL, 1QR6","7XDE, 7XDF, 7XDG"
P37330,OK,True,3,1,"1D8C, 1P7T, 7YQN",7YQM
B2J981,OK,True,3,10,"5HJF, 5HJH, 5I4J","7RZQ, 7RZR, 7RZS, 7RZT, 7RZU, 7RZV, 7TIK, 8CZI, 8FA1, 8FA2"
P20068,OK,True,8,7,"3ZEV, 4BUO, 4BV0, 4BWB, 4GRV, 4XEE, 4XES, 5T04","7L0P, 7L0Q, 7L0R, 7L0S, 8FMZ, 8FN0, 8FN1"
P01225,OK,True,4,1,"1FL7, 1XWD, 4AY9, 4MQW",8I2G
P9WGY5,OK,True,29,34,"5UH5, 5UH6, 5UH8, 5UH9, 5UHA, 5UHB, 5UHC, 5UHD, 5UHE, 5UHF","6BZO, 6C04, 6C05, 6C06, 6EDT, 6EE8, 6EEC, 6FBV, 6M7J, 6VVX"
Q5JF30,OK,True,3,1,"6ITZ, 6IU0, 8HH0",8HLA
P36160,OK,True,2,13,"5A53, 5WXL","3JCT, 6FT6, 6M62, 7BT6, 7BTB, 7OH3, 7OHQ, 7OHT, 7UG6, 7UOO"
P9WGY7,OK,True,30,34,"5UH5, 5UH6, 5UH7, 5UH8, 5UH9, 5UHA, 5UHB, 5UHC, 5UHD, 5UHE","6BZO, 6C04, 6C05, 6C06, 6EDT, 6EE8, 6EEC, 6FBV, 6M7J, 6VVX"
P9WGY9,OK,True,37,34,"4KBJ, 4KBM, 5UH5, 5UH6, 5UH8, 5UH9, 5UHA, 5UHB, 5UHC, 5UHD","6BZO, 6C04, 6C05, 6C06, 6EDT, 6EE8, 6EEC, 6FBV, 6M7J, 6VVX"
P9WGZ1,OK,True,29,34,"5UH5, 5UH6, 5UH8, 5UH9, 5UHA, 5UHB, 5UHC, 5UHD, 5UHE, 5UHF","6BZO, 6C04, 6C05, 6C06, 6EDT, 6EE8, 6EEC, 6FBV, 6M7J, 6VVX"
P36193,OK,True,3,3,"4EZR, 6Z2P, 6Z2Q","8AKN, 8AM9, 8ANA"
Q80WG5,OK,True,1,32,6FNW,"6G8Z, 6G9L, 6G9O, 6NZW, 6NZZ, 6O00, 7M17, 7M19, 7P60, 7P6K"
O43719,OK,True,4,6,"6N3D, 6N3E, 6N3F, 6NSX","6Y50, 6Y53, 6Y5Q, 7EVO, 7Q3L, 8HK1"
Q86XP3,OK,True,1,2,8DPE,"7EVN, 8HK1"
Q12080,OK,True,1,11,5OOQ,"3JCT, 6M62, 6YLX, 6YLY, 7BTB, 7OHQ, 7U0H, 7UOO, 7UQB, 7UQZ"
P25382,OK,True,2,18,"4WJU, 4WJV","3JCT, 4V7F, 5JCS, 6FT6, 6M62, 6YLF, 6YLG, 6YLH, 7BT6, 7BTB"
O60885,OK,True,577,5,"2NNU, 2OSS, 2OUO, 2YEL, 2YEM, 3MXF, 3P5O, 3SVF, 3SVG, 3U5J","8G46, 8OV6, 8R5H, 8RWZ, 8RX0"
Q08746,OK,True,2,13,"5A53, 5WXL","3JCT, 6FT6, 6M62, 7BT6, 7BTB, 7OH3, 7OHQ, 7OHT, 7UG6, 7UOO"
Q3IY11,OK,True,2,2,"6NHH, 6NIN","8ASI, 8ASJ"
Q3IY10,OK,True,2,2,"6NHH, 6NIN","8ASI, 8ASJ"
Q3IY09,OK,True,2,2,"6NHH, 6NIN","8ASI, 8ASJ"
P35221,OK,True,8,2,"1H6G, 4EHP, 4IGG, 6V2O, 6V2P, 9BL2, 9BL3, 9BL4","6UPV, 7UTJ"
Q9VKJ9,OK,True,3,3,"5VNY, 5VO5, 6EI6","7ZRV, 7ZSD, 7ZSS"
Q04781,OK,True,2,7,"5FG0, 5FG1","8AAF, 8AGT, 8AGU, 8AGV, 8AGW, 8AGX, 8AGZ"
Q39615,OK,True,1,16,8H2U,"6IJJ, 6IJO, 6JO5, 6JO6, 7BGI, 7BLX, 7D0J, 7DZ7, 7DZ8, 7O01"
A8IFG7,OK,True,1,14,8H2U,"6IJJ, 6IJO, 6JO5, 6JO6, 7BGI, 7BLX, 7D0J, 7DZ7, 7DZ8, 7O01"
Q75VY7,OK,True,1,16,8H2U,"6IJJ, 6IJO, 6JO5, 6JO6, 7BGI, 7BLX, 7D0J, 7DZ7, 7DZ8, 7O01"
P15428,OK,True,1,3,2GDZ,"8CVN, 8CWL, 8FD8"
Q8R502,OK,True,1,17,8BEN,"8B40, 8B41, 8B42, 8DR8, 8DRA, 8DRE, 8DRK, 8DRN, 8DS3, 8DS9"
P01031,OK,True,20,13,"3CU7, 3HQA, 3HQB, 3KLS, 3KM9, 3PRX, 3PVM, 4A5W, 4E0S, 4P39","6H03, 6H04, 6RQJ, 7NYC, 7NYD, 7Y64, 8B0F, 8B0G, 8B0H, 8HK5"
P21730,OK,True,3,12,"5O9H, 6C1Q, 6C1R","7Y64, 7Y65, 7Y66, 7Y67, 8GO8, 8GOO, 8HK5, 8I0N, 8I0Z, 8IA2"
P01865,OK,True,32,4,"1AXT, 1DQJ, 1E4W, 1EGJ, 1FLR, 1FPT, 1GGB, 1GGC, 1KB5, 1LO0","3J3P, 8AQT, 8AQU, 8AQV"
P13271,OK,True,35,12,"1BCC, 1BE3, 1BGY, 1L0L, 1L0N, 1NTK, 1NTM, 1NTZ, 1NU1, 1PP9","2YBB, 5GPN, 5LUF, 6FO0, 6FO2, 6FO6, 7DGQ, 7DGR, 7DGS, 7DKF"
P00129,OK,True,35,11,"1BCC, 1BE3, 1BGY, 1L0L, 1L0N, 1NTK, 1NTM, 1NTZ, 1NU1, 1PP9","2YBB, 5LUF, 6FO0, 6FO2, 6FO6, 7DGQ, 7DGR, 7DGS, 7DKF, 7TZ6"
P07552,OK,True,20,9,"1BE3, 1BGY, 1L0L, 1L0N, 1NTK, 1NTM, 1NTZ, 1NU1, 1QCR, 1SQB","2YBB, 5GPN, 5LUF, 7DGQ, 7DGR, 7DGS, 7DKF, 7TZ6, 8P65"
P01137,OK,True,7,6,"3KFD, 4KV5, 5FFO, 5VQP, 6OM2, 6P7J, 8UDZ","7Y1R, 7Y1T, 8VSC, 8VSD, 9FDY, 9FKP"
P09144,OK,True,1,16,8H2U,"6IJJ, 6IJO, 6JO5, 6JO6, 7BGI, 7BLX, 7D0J, 7DZ7, 7DZ8, 7O01"
Q00914,OK,True,1,16,8H2U,"6IJJ, 6IJO, 6JO5, 6JO6, 7BGI, 7BLX, 7D0J, 7DZ7, 7DZ8, 7O01"
P12356,OK,True,1,16,8H2U,"6IJJ, 6IJO, 6JO5, 6JO6, 7BGI, 7BLX, 7D0J, 7DZ7, 7DZ8, 7O01"
P12352,OK,True,1,16,8H2U,"6IJJ, 6IJO, 6JO5, 6JO6, 7BGI, 7BLX, 7D0J, 7DZ7, 7DZ8, 7O01"
P14224,OK,True,1,13,8H2U,"6IJO, 6JO5, 6JO6, 7BGI, 7BLX, 7D0J, 7DZ7, 7DZ8, 7O01, 7R3K"
P14225,OK,True,1,14,8H2U,"6IJJ, 6IJO, 6JO5, 6JO6, 7BGI, 7BLX, 7D0J, 7DZ7, 7DZ8, 7O01"
Q05093,OK,True,1,16,8H2U,"6IJJ, 6IJO, 6JO5, 6JO6, 7BGI, 7BLX, 7D0J, 7DZ7, 7DZ8, 7O01"
P03420,OK,True,69,9,"3IXT, 3KPE, 3O41, 3O45, 3RKI, 3RRR, 3RRT, 4CCF, 4JHW, 4MMQ","6CXC, 7LUE, 7MPG, 8DG9, 8KG5, 8WZ3, 8WZ4, 9B2X, 9HVW"
Q75VZ0,OK,True,1,14,8H2U,"6JO5, 6JO6, 7BGI, 7BLX, 7D0J, 7DZ7, 7DZ8, 7O01, 7R3K, 7WYI"
Q75VY8,OK,True,1,16,8H2U,"6IJJ, 6IJO, 6JO5, 6JO6, 7BGI, 7BLX, 7D0J, 7DZ7, 7DZ8, 7O01"
Q75VY6,OK,True,1,16,8H2U,"6IJJ, 6IJO, 6JO5, 6JO6, 7BGI, 7BLX, 7D0J, 7DZ7, 7DZ8, 7O01"
P59777,OK,True,1,16,8H2U,"6IJJ, 6IJO, 6JO5, 6JO6, 7BGI, 7BLX, 7D0J, 7DZ7, 7DZ8, 7O01"
P12154,OK,True,1,16,8H2U,"6IJJ, 6IJO, 6JO5, 6JO6, 7BGI, 7BLX, 7D0J, 7DZ7, 7DZ8, 7O01"
P31800,OK,True,35,12,"1BCC, 1BE3, 1BGY, 1L0L, 1L0N, 1NTK, 1NTM, 1NTZ, 1NU1, 1PP9","2YBB, 5GPN, 5LUF, 6FO0, 6FO2, 6FO6, 7DGQ, 7DGR, 7DGS, 7DKF"
P23004,OK,True,35,12,"1BCC, 1BE3, 1BGY, 1L0L, 1L0N, 1NTK, 1NTM, 1NTZ, 1NU1, 1PP9","2YBB, 5GPN, 5LUF, 6FO0, 6FO2, 6FO6, 7DGQ, 7DGR, 7DGS, 7DKF"
P00125,OK,True,35,12,"1BCC, 1BE3, 1BGY, 1L0L, 1L0N, 1NTK, 1NTM, 1NTZ, 1NU1, 1PP9","2YBB, 5GPN, 5LUF, 6FO0, 6FO2, 6FO6, 7DGQ, 7DGR, 7DGS, 7DKF"
P13272,OK,True,25,6,"1BCC, 1BE3, 1BGY, 1L0L, 1L0N, 1NTK, 1NTM, 1NTZ, 1NU1, 1PP9","2YBB, 5GPN, 5LUF, 6FO0, 6FO6, 8P65"
P00126,OK,True,35,12,"1BCC, 1BE3, 1BGY, 1L0L, 1L0N, 1NTK, 1NTM, 1NTZ, 1NU1, 1PP9","2YBB, 5GPN, 5LUF, 6FO0, 6FO2, 6FO6, 7DGQ, 7DGR, 7DGS, 7DKF"
P00130,OK,True,35,12,"1BCC, 1BE3, 1BGY, 1L0L, 1L0N, 1NTK, 1NTM, 1NTZ, 1NU1, 1PP9","2YBB, 5GPN, 5LUF, 6FO0, 6FO2, 6FO6, 7DGQ, 7DGR, 7DGS, 7DKF"
P00157,OK,True,32,12,"1BE3, 1BGY, 1L0L, 1L0N, 1NTK, 1NTM, 1NTZ, 1NU1, 1PP9, 1PPJ","2YBB, 5GPN, 5LUF, 6FO0, 6FO2, 6FO6, 7DGQ, 7DGR, 7DGS, 7DKF"
A0R200,OK,True,1,31,6FOC,"7JG5, 7JG6, 7JG7, 7JG8, 7JG9, 7JGA, 7NJK, 7NJL, 7NJM, 7NJN"
O07091,OK,True,1,4,3A9F,"7UEA, 7UEB, 7Z6Q, 8GWA"
Q3E757,OK,True,33,32,"4U3M, 4U3N, 4U3U, 4U4N, 4U4O, 4U4Q, 4U4R, 4U4U, 4U4Y, 4U4Z","2NOQ, 3J0Q, 4V8T, 6GQ1, 6GQB, 6GQV, 6I7O, 6OIG, 6Q8Y, 6R84"
Q16798,OK,True,2,3,"8EYN, 8EYO","8E76, 8E78, 8E8O"
Q66479,OK,True,2,1,"3W95, 6HLW",6I2K
P06971,OK,True,12,2,"1BY3, 1BY5, 1FCP, 1FI1, 1QFF, 1QFG, 1QJQ, 1QKC, 2FCP, 2GRX","8A8C, 8B14"
P07602,OK,True,16,1,"1N69, 2DOB, 2GTG, 2QYP, 2R0R, 2R1Q, 2RB3, 2Z9A, 3BQP, 3BQQ",8EQU
O14520,OK,True,4,3,"6KXW, 6N1G, 6QZI, 6QZJ","8AMW, 8AMX, 8C9H"
P60891,OK,True,12,13,"2H06, 2H07, 2H08, 2HCR, 3EFH, 3S5J, 4F8E, 4LYG, 4LZN, 4LZO","8DBC, 8DBD, 8DBE, 8DBF, 8DBG, 8DBH, 8DBI, 8DBJ, 8DBK, 8DBL"
Q9NR09,OK,True,1,13,3CEG,"8ATM, 8ATO, 8ATU, 8ATX, 8AUK, 8AUW, 8E2D, 8E2E, 8E2F, 8E2G"
A0R1Z9,OK,True,2,30,"6FOC, 6PI4","7JG5, 7JG6, 7JG7, 7JG8, 7JG9, 7JGA, 7NJK, 7NJL, 7NJM, 7NJN"
A0R201,OK,True,1,34,6FOC,"7JG5, 7JG6, 7JG7, 7JG8, 7JG9, 7JGA, 7NJK, 7NJL, 7NJM, 7NJN"
A0R202,OK,True,1,32,6FOC,"7JG8, 7JG9, 7JGA, 7NJK, 7NJL, 7NJM, 7NJN, 7NJO, 7NJP, 7NJQ"
Q02762,OK,True,13,1,"2FYN, 2NUK, 2NUM, 2NVE, 2NVF, 2NVG, 2NWF, 2QJK, 2QJP, 2QJY",7TLJ
Q02760,OK,True,7,1,"2FYN, 2QJK, 2QJP, 2QJY, 5KKZ, 5KLI, 7TCE",7TLJ
