uniprotid,status,has_both,xray_count,em_count,xray_pdbs,em_pdbs
P94692,OK,True,10,1,"1B0P, 1KEK, 2C3M, 2C3O, 2C3P, 2C3U, 2C3Y, 2C42, 2PDA, 2UZA",7PLM
Q6SW67,OK,True,3,6,"5VOB, 5VOC, 5VOD","7LBE, 7LBF, 7LBG, 7T4Q, 7T4R, 7T4S"
P20290,OK,True,2,6,"3LKX, 3MCB","7QWQ, 7QWR, 9F1B, 9F1C, 9F1D, 9FQ0"
P16220,OK,True,2,1,"5ZK1, 5ZKO",7TBH
Q16281,OK,True,1,9,3SWY,"7RHS, 8ETP, 8EU3, 8EUC, 8EV8, 8EV9, 8EVA, 8EVB, 8EVC"
F5HET4,OK,True,3,6,"5VOB, 5VOC, 5VOD","7KBB, 7M22, 7M30, 7T4Q, 7T4R, 7T4S"
F5HCP3,OK,True,3,3,"5VOB, 5VOC, 5VOD","7T4Q, 7T4R, 7T4S"
P61011,OK,True,7,2,"1MFQ, 1QB2, 5L3Q, 6Y2Z, 6Y30, 6Y31, 6Y32","7NFX, 7QWQ"
P09132,OK,True,5,4,"1JID, 1MFQ, 3KTV, 4P3E, 5M73","1RY1, 2J37, 7NFX, 7QWQ"
Q92793,OK,True,111,5,"1RDT, 1ZOQ, 3DWY, 3P1C, 3P1D, 3P1E, 3P1F, 3SVH, 4A9K, 4N3W","7TB3, 7TBH, 8HAL, 8HAM, 8HAN"
P30559,OK,True,1,2,6TPK,"7QVM, 7RYC"
Q15722,OK,True,1,1,7K15,7VKT
P32657,OK,True,5,8,"2H1E, 2XB0, 3MWY, 3TED, 5J70","5O9G, 6FTX, 6G0L, 7NKX, 7TN2, 9GD1, 9GD2, 9GD3"
D0LZ73,OK,True,1,2,5N5F,"7OE2, 7OEU"
P9WNT7,OK,True,2,1,"5LEW, 8DJQ",7PU7
P68440,OK,True,14,6,"2YGB, 2YGC, 3SAM, 3SAQ, 6BEB, 6BEC, 6BED, 6BEE, 6BEF, 6BEG","7VFD, 7VFE, 7VFF, 7VFG, 7VFH, 8ARH"
A5HC98,OK,True,7,9,"2XI5, 2XI7, 5AMQ, 5AMR, 6Z6B, 7OA4, 7PLR","6Z6G, 6Z8K, 7ORI, 7ORJ, 7ORK, 7ORL, 7ORM, 7ORN, 7ORO"
Q9WZP2,OK,True,1,11,3DKT,"6WKV, 7K5W, 7KQ5, 7LII, 7LIJ, 7LIK, 7LIL, 7LIM, 7LIS, 7LIT"
P84099,OK,True,1,5,1K8D,"6SWA, 7CPU, 7CPV, 7LS1, 7LS2"
P62984,OK,True,2,5,"3AI5, 6JWI","6SWA, 7CPU, 7CPV, 7LS1, 7LS2"
P9WQK3,OK,True,1,4,7MU0,"7MSC, 7MSH, 7MSM, 7MSZ"
O60934,OK,True,1,2,5WQD,"7SID, 8BAH"
