uniprotid,status,has_both,xray_count,em_count,xray_pdbs,em_pdbs
A0A1I7NFG5,OK,True,6,15,"8U7B, 8Z8Y, 8Z92, 8Z96, 9L9W, 9L9X","8IFK, 8IFL, 8IFM, 8ISY, 8ISZ, 8IT0, 8IT1, 8J84, 8J8H, 8J9G"
P67775,OK,True,19,16,"2IAE, 2IE3, 2IE4, 2NPP, 2NYL, 2NYM, 3C5W, 3DW8, 3FGA, 3K7V","6NTS, 7CUN, 7K36, 7PKS, 7SOY, 7YCX, 8RBX, 8RBZ, 8RC4, 8SO0"
P22579,OK,True,2,25,"6XAW, 6XDJ","7YI0, 7YI2, 7YI3, 7YI4, 7YI5, 8GA8, 8HPO, 8HXX, 8HXY, 8HY0"
P23301,OK,True,6,14,"3ER0, 5DAT, 5DC3, 5DGE, 5DGF, 6Q84","5GAK, 5MC6, 6TNU, 7NRC, 8AAF, 8AGT, 8AGU, 8AGV, 8AGX, 8AGZ"
P30153,OK,True,17,16,"1B3U, 2IE3, 2IE4, 2NPP, 2NYL, 2NYM, 2PKG, 3C5W, 3DW8, 3K7V","6NTS, 7CUN, 7K36, 7PKS, 7SOY, 7YCX, 8RBX, 8RBZ, 8RC4, 8SO0"
Q2V8W4,OK,True,2,8,"3LQ6, 3LQE","6CRJ, 6P4J, 6P4K, 6P4L, 6S6L, 7L5J, 8UUX, 8UV3"
P10997,OK,True,13,36,"2G48, 3DG1, 3FPO, 3FR1, 3FTH, 3FTK, 3FTL, 3FTR, 3G7V, 3G7W","5KNZ, 5KO0, 6VW2, 6Y1A, 6ZRF, 6ZRQ, 6ZRR, 7M61, 7M62, 7M64"
P0CX87,OK,True,4,15,"5MEI, 5NDV, 5ON6, 6HHQ","4V8Y, 4V8Z, 5M1J, 6GQ1, 6GQB, 6GQV, 6I7O, 6Q8Y, 6S47, 6T7I"
P39015,OK,True,35,8,"4U3M, 4U3N, 4U3U, 4U4N, 4U4O, 4U4Q, 4U4R, 4U4U, 4U4Y, 4U4Z","4V8Y, 4V8Z, 7MPI, 7MPJ, 7N8B, 8BN3, 8K2D, 8Y0U"
P01210,OK,True,2,2,"5E33, 5E3A","8JGF, 8JGG"
O75012,OK,True,1,8,8R8B,"5MRC, 5MRE, 5MRF, 8D8K, 8D8L, 8OM2, 8OM3, 8OM4"
G0SHQ2,OK,True,1,17,5AFF,"7OLC, 7OLD, 7OZS, 7Z3N, 7Z3O, 8I9R, 8OO0, 8PV1, 8PV2, 8PV3"
G0S683,OK,True,1,18,5M3Q,"8I9R, 8I9T, 8I9V, 8I9W, 8I9X, 8I9Y, 8I9Z, 8IA0, 8PV1, 8PV2"
G0SEG2,OK,True,2,17,"4GMN, 5AFF","7OLC, 7OLD, 7OZS, 7Z3N, 7Z3O, 8I9R, 8OO0, 8PV1, 8PV2, 8PV3"
G0SC29,OK,True,2,9,"4WJS, 6QTA","8PV1, 8PV3, 8PV4, 8PV5, 8PV6, 8PV7, 8PV8, 8PVK, 8PVL"
G0S616,OK,True,1,17,4NWB,"8I9T, 8I9V, 8I9W, 8I9X, 8I9Y, 8I9Z, 8IA0, 8PV1, 8PV2, 8PV3"
G0SFC3,OK,True,2,24,"5TQB, 5TQC","7OLC, 7OLD, 7Z3N, 7Z3O, 8I9P, 8I9R, 8I9T, 8I9V, 8I9W, 8I9X"
Q08285,OK,True,9,7,"2JA9, 4IFD, 4OO1, 5C0W, 5C0X, 5JEA, 5K36, 5OKZ, 5VZJ","5G06, 6FSZ, 6LQS, 7AJT, 7AJU, 7D4I, 8QCF"
Q12277,OK,True,8,7,"4IFD, 4OO1, 5C0W, 5C0X, 5JEA, 5K36, 5OKZ, 5VZJ","5G06, 6FSZ, 6LQS, 7AJT, 7AJU, 7D4I, 8QCF"
Q08162,OK,True,8,7,"2VNU, 2WP8, 4IFD, 5C0W, 5C0X, 5JEA, 5K36, 5VZJ","5G06, 6FSZ, 6LQS, 7AJT, 7AJU, 7D4I, 8QCF"
P48240,OK,True,8,7,"4IFD, 4OO1, 5C0W, 5C0X, 5JEA, 5K36, 5OKZ, 5VZJ","5G06, 6FSZ, 6LQS, 7AJT, 7AJU, 7D4I, 8QCF"
P00722,OK,True,59,17,"1DP0, 1F4A, 1F4H, 1HN1, 1JYN, 1JYV, 1JYW, 1JYX, 1JZ2, 1JZ3","3J7H, 4CKD, 5A1A, 6CVM, 6DRV, 6TSH, 6TSK, 6TTE, 6X1Q, 8BK7"
P46948,OK,True,9,7,"2WP8, 4IFD, 4OO1, 5C0W, 5C0X, 5JEA, 5K36, 5OKZ, 5VZJ","5G06, 6FSZ, 6LQS, 7AJT, 7AJU, 7D4I, 8QCF"
P25359,OK,True,8,7,"4IFD, 4OO1, 5C0W, 5C0X, 5JEA, 5K36, 5OKZ, 5VZJ","5G06, 6FSZ, 6LQS, 7AJT, 7AJU, 7D4I, 8QCF"
P53256,OK,True,8,7,"4IFD, 4OO1, 5C0W, 5C0X, 5JEA, 5K36, 5OKZ, 5VZJ","5G06, 6FSZ, 6LQS, 7AJT, 7AJU, 7D4I, 8QCF"
P08238,OK,True,13,15,"1QZ2, 1UYM, 3FWV, 3NMQ, 3PRY, 3UQ3, 5UC4, 5UCH, 5UCI, 5UCJ","5FWK, 5FWL, 5FWM, 5FWP, 7Z37, 7Z38, 7ZR0, 7ZR5, 7ZR6, 7ZUB"
P38792,OK,True,8,7,"4IFD, 4OO1, 5C0W, 5C0X, 5JEA, 5K36, 5OKZ, 5VZJ","5G06, 6FSZ, 6LQS, 7AJT, 7AJU, 7D4I, 8QCF"
P53859,OK,True,8,7,"4IFD, 4OO1, 5C0W, 5C0X, 5JEA, 5K36, 5OKZ, 5VZJ","5G06, 6FSZ, 6LQS, 7AJT, 7AJU, 7D4I, 8QCF"
Q08491,OK,True,3,4,"4ZKD, 4ZKE, 5JEA","5G06, 8QCA, 8QCB, 8QCF"
P35207,OK,True,3,5,"4A4K, 4A4Z, 4BUJ","5MC6, 8Q9T, 8QCA, 8QCB, 8QCF"
Q05636,OK,True,9,7,"2WP8, 4IFD, 4OO1, 5C0W, 5C0X, 5JEA, 5K36, 5OKZ, 5VZJ","5G06, 6FSZ, 6LQS, 7AJT, 7AJU, 7D4I, 8QCF"
P35869,OK,True,1,2,5NJ8,"7ZUB, 8QMO"
O00170,OK,True,2,2,"4AIF, 4APO","7ZUB, 8QMO"
Q2G2Q4,OK,True,1,1,8BXA,8BYV
P23979,OK,True,1,17,4PIR,"6BE1, 6DG7, 6DG8, 6HIN, 6HIO, 6HIQ, 6NP0, 6W1J, 6W1M, 6W1Y"
Q2Y0H9,OK,True,4,3,"4AQQ, 4AR2, 8COI, 8QB3","6HCR, 8C9N, 8QBX"
P08172,OK,True,8,9,"3UON, 4MQS, 4MQT, 5YC8, 5ZK3, 5ZK8, 5ZKB, 5ZKC","6OIK, 6U1N, 7T8X, 7T90, 7T94, 7T96, 8J8R, 8J97, 8JAF"
P04406,OK,True,13,7,"1U8F, 1ZNQ, 3GPD, 4WNC, 4WNI, 6ADE, 6IQ6, 6M61, 6YND, 6YNE","8DNS, 8G12, 8G13, 8G14, 8G15, 8G16, 8G17"
