uniprotid,status,has_both,xray_count,em_count,xray_pdbs,em_pdbs
Q6ZYL4,OK,True,1,42,1YDL,"5IVW, 5IY6, 5IY7, 5IY8, 5IY9, 5OF4, 6NMI, 6O9L, 6O9M, 6RO4"
Q6UX04,OK,True,3,6,"2HQ6, 4R3E, 6YVH","5Z56, 5Z58, 6FF4, 6FF7, 7DVQ, 8I0R"
Q13356,OK,True,1,8,1ZKC,"7ABI, 7DVQ, 7QTT, 8CH6, 8I0P, 8I0R, 8I0S, 8I0T"
O57286,OK,True,7,1,"4PG9, 4PGB, 4PGC, 4PGD, 4PGE, 6GB5, 6GB7",6M7D
P02452,OK,True,10,2,"1Q7D, 3EJH, 3GXE, 5CTD, 5CTI, 5CVA, 5CVB, 5K31, 5OU8, 5OU9","7E7B, 7E7D"
Q07930,OK,True,3,5,"2JKD, 3ELS, 3ELV","5GM6, 5LQW, 5ZWM, 5ZWO, 7DCO"
Q9C000,OK,True,5,4,"3KAT, 4IFP, 4IM6, 5Y3S, 8ZGD","6K7V, 6X6C, 6XKK, 7WGE"
P32524,OK,True,1,7,4DGW,"5NRL, 5ZWM, 5ZWO, 6G90, 7DCO, 7OQB, 7OQE"
Q8N5F4,OK,True,2,4,"4DAG, 4HPY","6OKP, 6V8Z, 7CZP, 7CZT"
V9HW68,OK,True,4,6,"6MXR, 6MXS, 6MY4, 6MY5","6MHG, 6U1N, 7CZW, 7CZY, 7CZZ, 7D03"
Q6IPQ0,OK,True,4,2,"5UTZ, 5W08, 5W0D, 6VTU","7CZW, 7D03"
P01825,OK,True,1,2,7FAB,"7CZP, 7CZX"
Q86TI2,OK,True,7,4,"6EOQ, 6EOR, 6QZV, 7A3F, 7SVL, 7SVN, 7ZXS","6X6A, 6X6C, 7JKQ, 7JN7"
P16234,OK,True,13,2,"1GQ5, 5GRN, 5K5X, 6A32, 6JOI, 6JOJ, 6JOK, 6JOL, 8PQH, 8PQI","7LBF, 7RAM"
P32639,OK,True,7,11,"3HIB, 3IM1, 3IM2, 4BGD, 5DCA, 5M52, 5M5P","3JCM, 5GAN, 5GAO, 5GAP, 5GM6, 5LJ5, 5LQW, 5NRL, 5ZWM, 5ZWO"
P00451,OK,True,17,5,"1D7P, 1IQD, 2R7E, 3CDZ, 3HNB, 3HNY, 3HOB, 4BDV, 4KI5, 4PT6","3J2Q, 3J2S, 7KWO, 8G6I, 8TY1"
P21728,OK,True,1,21,7JOZ,"7CKW, 7CKX, 7CKY, 7CKZ, 7CRH, 7F0T, 7F1O, 7F1Z, 7F23, 7F24"
Q86Y34,OK,True,1,2,7QU8,"7D76, 7D77"
P01594,OK,True,8,3,"1B0W, 1JV5, 1QP1, 2Q20, 3CDC, 3CDF, 3CDY, 4K07","7CZQ, 7CZU, 7CZV"
Q8TCD0,OK,True,28,10,"3CFJ, 3CFK, 3MNV, 3MNW, 3MNZ, 3PGF, 4D9Q, 4NUG, 4NUJ, 4NWT","5VIY, 5VJ6, 6DCQ, 7CZQ, 7CZR, 7CZS, 7CZU, 7CZV, 7CZX, 7D00"
P0DOX5,OK,True,69,21,"1N0X, 3PGF, 4R2G, 5O4E, 5VU0, 5VZX, 5VZY, 5W5L, 5WAV, 5XJE","5VJ6, 6B70, 6B7Z, 6BF7, 6BF9, 6FCZ, 6MB3, 6OGE, 6V8Z, 7CZT"
P36937,OK,True,1,18,5MRW,"6HRA, 6HRB, 7BGY, 7BH1, 7BH2, 7LC3, 7LC6, 7NNL, 7NNP, 7ZRD"
P9WIE5,OK,True,11,7,"1SJ2, 2CCA, 2CCD, 4C50, 4C51, 8CZP, 8DWR, 8U3P, 8W1W, 8W1X","6ZJI, 7A2I, 7A7A, 7A7C, 7A8Z, 7AA3, 7AG8"
P01772,OK,True,3,1,"2FB4, 2IG2, 2RCJ",7CZT
P03961,OK,True,1,18,5MRW,"6HRA, 6HRB, 7BGY, 7BH1, 7BH2, 7LC3, 7LC6, 7NNL, 7NNP, 7ZRD"
Q6GMX6,OK,True,27,5,"1BEY, 1ZA6, 2JIX, 3B2U, 3B2V, 3D0L, 3ZL4, 4D9L, 4FQQ, 4LKX","6OGE, 7CZR, 7CZS, 7CZX, 7D00"
P69054,OK,True,10,2,"1NEK, 1NEN, 2ACZ, 2WDQ, 2WDR, 2WDV, 2WP9, 2WS3, 2WU2, 2WU5","6WU6, 7JZ2"
P08195,OK,True,5,35,"2DH2, 2DH3, 6S8V, 7DF1, 8G0M","6IRS, 6IRT, 6JMQ, 6JMR, 7B00, 7CCS, 7CMH, 7CMI, 7DSK, 7DSL"
P07014,OK,True,10,2,"1NEK, 1NEN, 2ACZ, 2WDQ, 2WDR, 2WDV, 2WP9, 2WS3, 2WU2, 2WU5","6WU6, 7JZ2"
P0AC41,OK,True,11,1,"1NEK, 1NEN, 2ACZ, 2WDQ, 2WDR, 2WDV, 2WP9, 2WS3, 2WU2, 2WU5",7JZ2
P01857,OK,True,210,2,"1AJ7, 1AQK, 1AXS, 1BEY, 1D5B, 1D5I, 1D6V, 1DFB, 1DN2, 1E4K","7KWO, 7WSO"
P14416,OK,True,4,5,"5AER, 6CM4, 6LUQ, 7DFP","6VMS, 7JVR, 8IRS, 8TZQ, 8U02"
Q8I4X0,OK,True,11,4,"4CBU, 5MVV, 6I4D, 6I4E, 6I4F, 6I4G, 6I4H, 6I4I, 6I4J, 6I4K","5OGW, 6TU4, 6TU7, 7ALN"
Q9NVU0,OK,True,2,19,"7ASU, 7ASV","7A6H, 7AE1, 7AE3, 7AEA, 7AST, 7D58, 7D59, 7DN3, 7DU2, 7FJI"
Q9BUI4,OK,True,3,19,"2XUB, 2XV4, 5AFQ","7A6H, 7AE1, 7AE3, 7AEA, 7AST, 7D58, 7D59, 7DN3, 7DU2, 7FJI"
P03960,OK,True,1,18,5MRW,"6HRA, 6HRB, 7BGY, 7BH1, 7BH2, 7LC3, 7LC6, 7NNL, 7NNP, 7ZRD"
P03959,OK,True,1,18,5MRW,"6HRA, 6HRB, 7BGY, 7BH1, 7BH2, 7LC3, 7LC6, 7NNL, 7NNP, 7ZRD"
P0A9H3,OK,True,2,8,"3N75, 3Q16","4UPB, 4UPF, 5FKX, 5FL2, 6Q7L, 6Q7M, 6YN5, 6YN6"
P35613,OK,True,9,7,"3B5H, 3I84, 3I85, 3QQN, 3QR2, 4U0Q, 5X0T, 7DAA, 7XY8","6LYY, 6LZ0, 7CKO, 7CKR, 7DA5, 7DCE, 8XEJ"
A5K3U9,OK,True,1,1,6WVV,7K5K
P30047,OK,True,6,2,"7ACC, 7AL9, 7ALA, 7ALB, 7ALC, 7ALQ","6Z80, 6Z85"
P30793,OK,True,9,2,"1FB1, 6Z86, 6Z87, 6Z88, 6Z89, 7ALA, 7ALB, 7ALC, 7ALQ","6Z80, 6Z85"
P14335,OK,True,5,1,"1SFK, 2HCN, 2HCS, 2HFZ, 2QEQ",2OF6
Q9YIJ1,OK,True,1,8,3NTT,"6JCS, 6JCT, 7KP3, 7KPN, 9DC7, 9DCB, 9DCC, 9UMB"
P01286,OK,True,1,2,5BQM,"7CZ5, 7V9M"
Q5ZWW6,OK,True,2,25,"5UF5, 5UFK","6VQ6, 6VQ7, 6VQ8, 6VQ9, 6VQA, 6VQB, 6WLZ, 6WM2, 6WM3, 6WM4"
P07305,OK,True,7,6,"6LA2, 6LA8, 6LA9, 6LAB, 7COW, 7XVL, 7XX6","6N88, 6N89, 7DBP, 7K5X, 8TB9, 9IPU"
P10412,OK,True,3,23,"3TZD, 5JJZ, 6H8P","7K5Y, 7K63, 7PET, 7PEU, 7PEX, 7PEZ, 7PF0, 7PF2, 7PF3, 7PF5"
Q02643,OK,True,1,1,2XDG,7CZ5
P08475,OK,True,2,3,"1IR2, 1UZH","7JFO, 7JN4, 7JSX"
P02647,OK,True,3,3,"1AV1, 3K2S, 3R2P","4V6M, 7KJR, 8EQS"
P00877,OK,True,14,4,"1GK8, 1IR2, 1UW9, 1UWA, 1UZD, 1UZH, 2V63, 2V67, 2V68, 2V69","7JFO, 7JN4, 7JSX, 9HVM"
Q9UUT7,OK,True,2,4,"4WZ7, 6H8K","6GCS, 6Y79, 6YJ4, 7B0N"
P12355,OK,True,6,2,"2O01, 2WSC, 2WSE, 2WSF, 3LW5, 4XK8","6LY5, 9GRX"
