uniprotid,status,has_both,xray_count,em_count,xray_pdbs,em_pdbs
P0AFG6,OK,True,4,1,"1C4T, 1E2O, 1SCZ, 6PBR",9DZ8
P12493,OK,True,83,30,"3GV2, 4U0A, 4U0B, 4U0C, 4U0D, 4U0E, 4U0F, 4XFX, 4XFY, 4XFZ","5L93, 5UPW, 6VWS, 7OVQ, 7OVR, 7URN, 7URT, 8CKV, 8CKW, 8CKX"
P05165,OK,True,1,4,2JKU,"7YBU, 8XL3, 8XL4, 8XL5"
P28061,OK,True,8,15,"1PMA, 1YA7, 1YAR, 1YAU, 3IPM, 3JRM, 3JSE, 3JTL","3C91, 3C92, 3J9I, 5VY3, 5VY4, 6BDF, 6UTF, 6UTG, 6UTH, 6UTI"
P04591,OK,True,21,9,"1TSQ, 1TSU, 5INC, 5IND, 5NME, 5NMF, 5NMG, 5NMH, 5NMK, 6CPL","5FJB, 6N3J, 6N3U, 6ZDJ, 7ASH, 7ASL, 9CWV, 9D6C, 9DWD"
P0DP23,OK,True,150,74,"1CDL, 1CLL, 1CTR, 1IWQ, 1K90, 1K93, 1L7Z, 1LVC, 1PK0, 1S26","3J41, 5K7L, 6C1D, 6C1G, 6C1H, 6CNM, 6CNN, 6CNO, 6E2F, 6E2G"
P25156,OK,True,8,13,"1PMA, 1YA7, 1YAR, 1YAU, 3IPM, 3JRM, 3JSE, 3JTL","3C91, 3C92, 3J9I, 5VY3, 5VY4, 6BDF, 6UTF, 6UTH, 6UTI, 8F66"
O14459,OK,True,1,2,3H0G,"5U0S, 8QSZ"
Q92399,OK,True,1,5,3H0G,"5U0S, 7AOC, 7AOD, 7AOE, 8QSZ"
P11716,OK,True,20,91,"2BCX, 2XOA, 3HSM, 3ILA, 3RQR, 4ERT, 4ESU, 4ETT, 4ETU, 4I0Y","3J8H, 4UWA, 4UWE, 5GKY, 5GKZ, 5GL0, 5GL1, 5J8V, 5T15, 5T9M"
Q09191,OK,True,1,5,3H0G,"5U0S, 7AOC, 7AOD, 7AOE, 8QSZ"
P37382,OK,True,1,2,3H0G,"5U0S, 8QSZ"
Q02061,OK,True,1,2,3H0G,"5U0S, 8QSZ"
O13936,OK,True,1,1,4PZ8,8QSZ
O13877,OK,True,1,5,3H0G,"5U0S, 7AOC, 7AOD, 7AOE, 8QSZ"
P87123,OK,True,1,2,3H0G,"5U0S, 8QSZ"
P36595,OK,True,1,5,3H0G,"5U0S, 7AOC, 7AOD, 7AOE, 8QSZ"
P36594,OK,True,2,2,"3H0G, 4PZ6","5U0S, 8QSZ"
O74635,OK,True,1,2,3H0G,"5U0S, 8QSZ"
P40848,OK,True,1,1,3FQD,8QSZ
P49720,OK,True,16,84,"4R3O, 4R67, 5LE5, 5LEX, 5LEY, 5LEZ, 5LF0, 5LF1, 5LF3, 5LF4","5A0Q, 5GJQ, 5GJR, 5L4G, 5LN3, 5M32, 5T0C, 5T0G, 5T0H, 5T0I"
P48011,OK,True,1,5,3H0G,"5U0S, 7AOC, 7AOD, 7AOE, 8QSZ"
Q9BYF1,OK,True,74,242,"1R42, 1R4L, 2AJF, 3D0G, 3D0H, 3D0I, 3KBH, 3SCI, 3SCJ, 3SCK","6ACG, 6ACJ, 6ACK, 6CS2, 6M17, 6M18, 6M1D, 7A91, 7A92, 7A94"
P28072,OK,True,13,78,"4R3O, 4R67, 5LE5, 5LEX, 5LEY, 5LEZ, 5LF0, 5LF1, 5LF3, 5LF4","5A0Q, 5GJQ, 5GJR, 5L4G, 5LN3, 5M32, 5T0C, 5T0G, 5T0H, 5T0I"
Q9QUK6,OK,True,7,3,"2Z64, 3VQ1, 3VQ2, 5IJB, 5IJC, 5IJD, 7MLM","8WQT, 8WRY, 8WSA"
P28070,OK,True,16,79,"4R3O, 4R67, 5LE5, 5LEX, 5LEY, 5LEZ, 5LF0, 5LF1, 5LF3, 5LF4","5A0Q, 5GJQ, 5GJR, 5L4G, 5LN3, 5M32, 5T0C, 5T0G, 5T0H, 5T0I"
P20618,OK,True,41,80,"4R3O, 4R67, 5L5B, 5L5D, 5L5E, 5L5F, 5L5H, 5L5I, 5L5J, 5L5O","5A0Q, 5GJQ, 5GJR, 5L4G, 5LN3, 5M32, 5T0C, 5T0G, 5T0H, 5T0I"
P28074,OK,True,22,79,"4R3O, 4R67, 5L5W, 5L5X, 5L5Y, 5L5Z, 5L60, 5L61, 5L62, 5L63","5A0Q, 5GJQ, 5GJR, 5L4G, 5LN3, 5M32, 5T0C, 5T0G, 5T0H, 5T0I"
P49721,OK,True,16,83,"4R3O, 4R67, 5LE5, 5LEX, 5LEY, 5LEZ, 5LF0, 5LF1, 5LF3, 5LF4","5A0Q, 5GJQ, 5GJR, 5L4G, 5LN3, 5M32, 5T0C, 5T0G, 5T0H, 5T0I"
Q9JHF9,OK,True,7,3,"2Z64, 3VQ1, 3VQ2, 5IJB, 5IJC, 5IJD, 7MLM","8WQT, 8WRY, 8WSA"
U5WLK5,OK,True,1,5,7TTM,"8WLU, 8WLY, 8WLZ, 8WSR, 9CAS"
Q9Y6Y9,OK,True,6,2,"2E56, 2E59, 2Z65, 3FXI, 3ULA, 4G8A","8WO1, 8WTA"
O00206,OK,True,10,2,"2Z62, 2Z63, 2Z65, 2Z66, 3FXI, 3UL7, 3UL8, 3UL9, 3ULA, 4G8A","8WO1, 8WTA"
B8D3P7,OK,True,1,1,8QQH,8UID
